sim,method,psi1_mean,psi1_var,psi2_mean,psi2_var
26,bfal,0.8723612791062622,2.608685374845588e-4,-0.46394114834187206,0.0011197426508226225
26,gfal,0.9341181252329973,1.279309179520844e-4,-0.4888305869153016,2.67056290456113e-4
26,qfal,0.9339620924526271,2.2594897531913834e-4,-0.561458205936932,8.879632817744733e-4
26,super,0.9706131411770672,1.2271569338860483e-4,-0.5679766431098116,2.2766168596730432e-4
26,true,0.9337591190119049,1.2797341408273067e-4,-0.5552590366354996,2.630376500944098e-4
27,bfal,0.8619839737476389,2.489064266898626e-4,-0.43346921705422714,0.0010747812570852443
27,gfal,0.9189760241305844,1.239860997841317e-4,-0.43218851918356255,2.556175282420925e-4
27,qfal,0.9211099106067051,2.1850762971149776e-4,-0.49774629101902607,8.553851702063267e-4
27,super,0.9441634754840894,1.1738726758811193e-4,-0.49599195534632357,2.190599323438577e-4
27,true,0.9190988650915248,1.2474026379811766e-4,-0.49497209416415416,2.515884644143189e-4
28,bfal,0.8727948778395699,2.527054651394446e-4,-0.43957468423017476,0.0010565392045385259
28,gfal,0.9353005918439984,1.2586868802779883e-4,-0.4614018897495352,2.567568252893778e-4
28,qfal,0.9334174326792526,2.2144306876661376e-4,-0.5240413456977382,8.438351914807339e-4
28,super,0.9856105956638046,1.2023869161547389e-4,-0.5319279379254355,2.3180527413466527e-4
28,true,0.9356703231776531,1.2609580580993219e-4,-0.5203960934449673,2.5091866198051667e-4
29,bfal,0.8607324324604373,2.529770301963144e-4,-0.4083803855756583,0.0010738399977975415
29,gfal,0.9212117519798543,1.2679752768286e-4,-0.4140104641405727,2.4956354523765717e-4
29,qfal,0.923617968362436,2.2152403579635532e-4,-0.48183178609811395,8.550402184302999e-4
29,super,0.9637346962900518,1.2069486822699413e-4,-0.49566072115251397,2.2145007713633214e-4
29,true,0.9207770261655933,1.2709825740917305e-4,-0.47291755502323063,2.461350034674934e-4
30,bfal,0.8322916496638789,2.6177212849086537e-4,-0.4046099847863965,0.0011319574313486348
30,gfal,0.8976494044812199,1.3122102665054616e-4,-0.43230372367882547,2.655185589580966e-4
30,qfal,0.8993875974411428,2.2754119100427833e-4,-0.49107219920117823,8.936416949905797e-4
30,super,0.9033359835029081,1.239767284769853e-4,-0.49750332477328696,2.335738096674749e-4
30,true,0.8973598659656086,1.3177959398526785e-4,-0.49542401861027224,2.598811069650943e-4
31,bfal,0.8671032534307529,0.00025527249873838384,-0.4243996086118559,0.001089497798529596
31,gfal,0.9264553700028402,1.2407242414949943e-4,-0.435110730592542,2.5534525625937486e-4
31,qfal,0.9250211604781462,2.2396635045332088e-4,-0.5026520048332482,8.719723661751944e-4
31,super,0.967751703481937,1.1835617249843062e-4,-0.4893289247511812,2.6192131355395925e-4
31,true,0.9258785026487861,1.247269156292441e-4,-0.4992331035039355,2.512381409832612e-4
32,bfal,0.8556814128884118,2.674331183446577e-4,-0.43524746310292595,0.0010968167692580082
32,gfal,0.9141198417060086,1.292389611888462e-4,-0.45178976021466605,2.650726450110427e-4
32,qfal,0.914688091191121,2.3249177882356356e-4,-0.5083612307073764,8.865468758590171e-4
32,super,0.9863902983801615,1.2266192104502734e-4,-0.5289835616832999,2.3317400486729046e-4
32,true,0.9136222754321647,1.2981798452057274e-4,-0.5104245701390261,2.600820227205785e-4
33,bfal,0.8844078555488473,2.543213182271309e-4,-0.4387796495967919,0.0010598278413659365
33,gfal,0.9373511535173384,1.2614581246670265e-4,-0.4680807416971839,2.6216456561828144e-4
33,qfal,0.9411507998925758,2.2453804369629377e-4,-0.5242628663664552,8.495127098917067e-4
33,super,0.9371323496333918,1.1951315208769437e-4,-0.5584319247884814,2.2247488765466127e-4
33,true,0.9372317167225817,1.264545564702301e-4,-0.5294321599246684,2.554294694875086e-4
34,bfal,0.8606998212533914,2.6186121231047525e-4,-0.4466600007624763,0.0011179785420643072
34,gfal,0.917294878701551,1.2468214335089898e-4,-0.46258492229075,2.565721400022945e-4
34,qfal,0.920368416146556,2.2745161301320548e-4,-0.5258295165497806,8.833588688723078e-4
34,super,0.9912566395176856,1.186560587306958e-4,-0.5230058958257878,2.2677159908647405e-4
34,true,0.9170935334410539,1.25044009027256e-4,-0.5277330218207125,2.5167710764571283e-4
35,bfal,0.8619541613984115,2.5816591106122736e-4,-0.40426645651834203,0.0011215873289881185
35,gfal,0.9214751251834945,0.00012792144510399131,-0.42046998126533075,2.6489346539762835e-4
35,qfal,0.9230652175652064,2.2565922710239235e-4,-0.4897025369472947,9.048282089507584e-4
35,super,0.9940187627787018,1.2050812209356321e-4,-0.47442970035883075,2.3191254387295128e-4
35,true,0.9216937201859614,1.2834530564322279e-4,-0.48558456653436527,2.617717163061199e-4
36,bfal,0.8627446719747928,2.571798700425682e-4,-0.378327600752509,0.0011389241808082602
36,gfal,0.9308905909102788,1.2626536288401813e-4,-0.39832083856247524,2.619148999706588e-4
36,qfal,0.928344744817413,2.2388457190262404e-4,-0.4646465873888781,8.99974826038302e-4
36,super,1.0023221634270199,1.1974584037515325e-4,-0.4774567225984142,2.2840159746625668e-4
36,true,0.9301788601747556,1.2694520528286042e-4,-0.46135459356506714,2.558019379694759e-4
37,bfal,0.8454310587949716,2.4984087677215475e-4,-0.4441156031722774,0.001085379527615247
37,gfal,0.9115308226283994,1.2353283912270113e-4,-0.4468637099234253,2.5002711475685733e-4
37,qfal,0.9104097243158958,2.177950017944564e-4,-0.52645040237513,8.602105892604589e-4
37,super,0.9599233218816811,1.1719923885328303e-4,-0.5075647719413696,2.2221547350877388e-4
37,true,0.9115097835361361,1.235701963722773e-4,-0.5105869034138332,2.463022920267651e-4
38,bfal,0.8718216528512448,2.531099642111477e-4,-0.39182193710018276,0.0010826689705144387
38,gfal,0.9301104782999867,1.2762141754966684e-4,-0.42326342136452044,2.651192343309634e-4
38,qfal,0.9322877808579297,2.2155379746828375e-4,-0.48685031391693334,8.698106299430394e-4
38,super,0.9532200151037874,1.202305247286995e-4,-0.4987895895158164,2.2370593789010988e-4
38,true,0.9300570118536,1.279925591155439e-4,-0.4887901928827962,2.603185406360986e-4
39,bfal,0.8461855981260098,2.462647223852739e-4,-0.42206550018078565,0.00106556066169018
39,gfal,0.9117507652997402,1.256161809309869e-4,-0.4465169810761486,2.586828505675138e-4
39,qfal,0.9083972148962982,2.153746555704449e-4,-0.5119398628186649,8.53845582876208e-4
39,super,0.9322409268309882,1.1874398131966279e-4,-0.5389735187162293,2.2374970483096952e-4
39,true,0.9109461201661991,1.260885685361812e-4,-0.5090932779367621,2.5469717522253713e-4
40,bfal,0.8776018997675078,2.468489552724762e-4,-0.4787164986900662,0.0010616307448593958
40,gfal,0.9326842725413962,1.2581146053553772e-4,-0.46521125745712993,2.539860994045452e-4
40,qfal,0.9324857393510715,0.00021818642844366196,-0.530357604275467,8.611344934533474e-4
40,super,0.957004513466716,1.1887860969892946e-4,0.6089831329945259,1.0900022810373116
40,true,0.9327286403499679,1.2642258707954226e-4,-0.5259298060266263,2.504677883901515e-4
41,bfal,0.8641713718602475,2.6192027792653266e-4,-0.4042161735999455,0.0011151715915083723
41,gfal,0.9295004690277269,1.27074522377372e-4,-0.42415152829313374,2.5781335550430364e-4
41,qfal,0.929569083770651,2.2509536936303216e-4,-0.49455007949565327,8.869079550884733e-4
41,super,0.9787236529319512,1.2011190105186306e-4,-0.4981925727395335,2.2793824951667242e-4
